sample_id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric	group	pct
Blank1	135	92	68.15	81	81	60.0	81	60.0	Blank	0.6
Blank3	76	54	71.05	47	47	61.84	47	61.84	Blank	0.618421052631579
Blank2	56	46	82.14	44	44	78.57	44	78.57	Blank	0.7857142857142857
Blank4	178	146	82.02	142	142	79.78	142	79.78	Blank	0.797752808988764
SS035	26094	18667	71.54	18612	1631	6.25	1003	3.84	Fetus	0.03843795508546026
SS094	35274	26994	76.53	26909	13010	36.88	12218	34.64	Fetus	0.34637409990361173
SS023	12551	10334	82.34	10319	8134	64.81	8084	64.41	Fetus	0.6440921042148036
SS088	23642	17108	72.36	16962	3322	14.05	1573	6.65	Newborn	0.06653413416800609
SS051	57706	41315	71.6	41214	6510	11.28	5840	10.12	Newborn	0.10120264790489723
SS055	37797	29841	78.95	29741	19078	50.47	16705	44.2	Newborn	0.4419662936211869
SS087	45747	37760	82.54	37448	36149	79.02	34767	76.0	Sterile	0.7599842612630336
SS016	83256	68230	81.95	67761	66000	79.27	64055	76.94	Sterile	0.7693739790525608
SS063	64292	53712	83.54	53359	51753	80.5	49985	77.75	Sterile	0.7774684253095253
SS066	64880	54680	84.28	54320	52090	80.29	50693	78.13	Sterile	0.7813347718865598
SS031	46957	40170	85.55	39951	38493	81.97	36696	78.15	Sterile	0.7814809293609046
SS004	46130	39240	85.06	38870	37967	82.3	36425	78.96	Sterile	0.7896163017559072
SS070	33317	28556	85.71	28345	27883	83.69	26442	79.36	Sterile	0.793648887955098
SS078	70297	58679	83.47	58383	57383	81.63	55816	79.4	Sterile	0.7940025890151785
SS075	39378	33310	84.59	33071	32095	81.5	31324	79.55	Sterile	0.7954695515262329
SS082	71047	59922	84.34	59614	58376	82.17	56701	79.81	Sterile	0.7980773290920096
SS047	45373	38460	84.76	38186	37368	82.36	36283	79.97	Sterile	0.7996605911004342
SS054	43815	36484	83.27	36304	35971	82.1	35050	80.0	Sterile	0.7999543535318955
SS059	64482	55269	85.71	54777	53595	83.12	51668	80.13	Sterile	0.8012778759964021
SS043	45697	39326	86.06	39037	37654	82.4	36681	80.27	Sterile	0.8027003960872705
SS083	64989	55932	86.06	55555	54608	84.03	52884	81.37	Sterile	0.8137377094585238
SS071	64623	55792	86.33	55408	54467	84.28	53117	82.2	Sterile	0.821951936616994
SS019	62652	53203	84.92	52742	49616	79.19	48081	76.74	Muck	0.7674296111855966
SS052	50568	42293	83.64	41844	40872	80.83	39210	77.54	Muck	0.7753915519696251
SS090	74112	62081	83.77	61573	60269	81.32	57581	77.69	Muck	0.7769457037996546
SS007	65349	55063	84.26	54734	53439	81.77	50923	77.92	Muck	0.7792468132641662
SS076	25646	21553	84.04	21322	20493	79.91	20010	78.02	Muck	0.7802386337050612
SS064	46518	39084	84.02	38669	37757	81.17	36753	79.01	Muck	0.7900812588675351
SS095	61014	51485	84.38	50996	49897	81.78	48308	79.18	Muck	0.7917527124922149
SS011	49739	42463	85.37	42063	41133	82.7	39453	79.32	Muck	0.7932005066446852
SS028	42449	36096	85.03	35709	35086	82.65	34010	80.12	Muck	0.8011967301938797
SS040	42793	36758	85.9	36438	35723	83.48	34352	80.27	Muck	0.802748113009137
