taxon	mean_sterile	mean_muck	U	p_value	q_value	log2FC_muck_over_sterile	short
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas	0.000014126954228668299	0.004045582334629107	45.5	0.00002834467120181406	0.0046485260770975055	7.092110144632101	Aeromonas
d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Paenarthrobacter	0.0009073065295963572	0	1	0.00002834467120181406	0.0046485260770975055	-5.883031825831721	Paenarthrobacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Bosea	0.0006285491601330168	0.00007772554767195372	2	0.00011810279667422525	0.012396069538926682	-2.7865363509205814	Bosea
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas	0.015213550460307586	0.00019197281590663115	3	0.0001511715797430083	0.012396069538926682	-6.196807285239216	Comamonas
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Dinghuibacter	0	0.00026232600282673766	41.5	0.00042517006802721087	0.023242630385487528	4.151689312725751	Dinghuibacter
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Rubritaleaceae;g__Luteolibacter	0	0.0002850716250212629	41.5	0.00042517006802721087	0.023242630385487528	4.265161932526643	Luteolibacter
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Rhizobiaceae;g__Brucella	0.0019515114915197986	0	6.5	0.0006944444444444445	0.03253968253968254	-6.974821806025853	Brucella
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Roseomonas	0	0.00013229829779484698	38.5	0.0013227513227513227	0.040674603174603176	3.2417715633146256	Roseomonas
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	0.00673945846876001	0.000005211590577444236	6.5	0.0014030612244897958	0.040674603174603176	-8.339749465940814	Chryseobacterium
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella	0	0.00008672682096687452	39	0.001488095238095238	0.040674603174603176	2.7105195162663027	Legionella
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.0006182661135862954	0.0010670063025672717	41	0.001488095238095238	0.040674603174603176	0.7722219194707194	Parabacteroides
