#OTU ID	Blank1	Blank2	Blank3	Blank4	SS004	SS007	SS011	SS016	SS019	SS023	SS028	SS031	SS035	SS040	SS043	SS047	SS051	SS052	SS054	SS055	SS059	SS063	SS064	SS066	SS070	SS071	SS075	SS076	SS078	SS082	SS083	SS087	SS088	SS090	SS094	SS095
d5135e3e52ad09c3e39312bf9236b4b7	0	0	0	0	0	19141	0	73	9142	17	9368	12	0	8404	18	0	17	12492	15914	1121	0	18	12455	155	5865	10	0	5693	19008	16353	0	0	0	21942	1049	0
2c982937754e6321f861027032db80f7	0	0	0	0	9281	0	16657	10398	170	446	465	909	0	428	4121	12189	725	1544	18	194	15906	15090	401	3333	48	17509	2629	1122	11	0	17923	8437	0	311	226	14819
d20b46e3c9d79a8e49a48f112fc03d4f	0	0	0	0	2433	1460	1144	6712	11014	1078	1395	9906	23	5544	1610	2613	468	4427	638	3318	2133	2065	4070	4081	520	1656	2651	3363	1163	2940	1259	2218	49	5513	273	1591
aa8cfad62dfc9927d7e9c31f4b0c7ce8	0	0	0	0	3153	74	1056	1564	8336	108	479	333	0	1466	832	5041	66	521	101	823	8697	962	932	8659	2102	6016	2816	687	0	2830	7394	2495	65	3765	79	2781
b4bb370a59f2637d406ccc0f5a1b2a1e	0	0	0	0	2381	57	2687	11020	15	148	0	1075	0	0	3194	4211	545	13	187	492	5416	5521	0	7811	362	3421	2063	38	354	262	1920	3866	0	614	133	4544
b60f18845967360e0867e03374b76e3f	0	0	0	0	0	4973	0	0	75	10	6555	0	0	3175	0	0	141	3260	244	688	0	8	4157	34	8395	0	0	315	361	1242	0	0	0	4974	25	0
4d72007c70f4abc0bf9e8fe8b826d07d	0	0	0	0	2458	56	813	3997	1675	0	279	100	0	385	2201	651	215	893	62	231	1810	4323	181	3321	667	977	3322	435	57	1222	1124	1910	0	1846	0	909
aa844d14d4100a0938f8d8e82b46d1e0	0	0	0	0	103	278	0	1447	4997	0	605	6460	0	843	211	113	0	1186	209	660	353	447	1301	326	987	208	235	918	0	5583	526	615	0	1189	646	0
9b67219ccb0efe47ad5d39d5bfc193f7	0	0	0	0	1347	2980	524	1408	1545	37	345	2773	0	1060	725	503	87	824	477	476	2104	77	524	4088	43	328	760	1004	2049	121	1046	382	0	2494	0	0
bcfe33e5c83c6f63acbba388db730735	0	0	0	0	3736	0	2875	630	168	1175	726	726	0	574	257	683	649	430	0	62	441	2578	629	1459	0	336	5595	287	0	0	1368	856	0	421	0	221
95c64884bd5d4030a2007fd8a71ff345	0	0	0	0	0	244	0	61	140	0	6001	0	0	5603	0	0	233	4903	0	0	0	0	5322	0	0	0	0	2344	0	0	0	0	0	990	0	0
29f5d7605cf4510c64c7b4fb1585949d	0	0	0	0	0	5513	0	0	30	0	0	0	0	0	0	0	0	0	4899	136	0	0	0	484	0	0	0	0	12921	0	0	0	0	885	0	0
6359d0aea7282cb2615bd9926775b3c1	0	0	0	0	0	1214	0	0	311	0	2112	0	0	2272	9	0	111	4140	6958	140	0	0	2109	20	0	0	5	1286	557	0	0	0	0	3412	0	4
