id	mother	age-class	environment	fed	primary-comparison	pielou_evenness
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
SS004	11.21	7+_days	Sterile	No	Sterile	0.67964880500026
SS007	11.22	20+_days	Muck	Yes	Muck	0.592535263587691
SS011	NR1908	15+_days	Muck	No	Muck	0.58796649845556
SS016	11.21	7+_days	Sterile	No	Sterile	0.663181365327044
SS019	11.22	15+_days	Muck	Yes	Muck	0.553629306420102
SS023	NR1910	Fetus	Sterile	No	Fetus	0.616455131616247
SS028	11.21	7+_days	Muck	No	Muck	0.567057882035485
SS031	11.22	15+_days	Sterile	Yes	Sterile	0.651095942759374
SS040	11.21	7+_days	Muck	No	Muck	0.600795346239701
SS043	11.22	15+_days	Sterile	Yes	Sterile	0.636041229374313
SS047	NR1908	15+_days	Sterile	No	Sterile	0.611000651903562
SS051	11.21	Newborn	Newborn	No	Newborn	0.825684427874584
SS052	11.21	7+_days	Muck	No	Muck	0.53790629068783
SS054	11.22	20+_days	Sterile	Yes	Sterile	0.519934601881843
SS055	11.22	Newborn	Newborn	No	Newborn	0.779400450659618
SS059	NR1908	15+_days	Sterile	No	Sterile	0.603121313128287
SS063	11.21	7+_days	Sterile	No	Sterile	0.63391766542841
SS064	11.21	7+_days	Muck	No	Muck	0.556796096888215
SS066	11.22	20+_days	Sterile	Yes	Sterile	0.685224551671425
SS070	NR1912	15+_days	Sterile	Yes	Sterile	0.625455897381255
SS071	NR1908	15+_days	Sterile	No	Sterile	0.630612598349107
SS075	11.21	7+_days	Sterile	No	Sterile	0.717050923196307
SS076	11.21	7+_days	Muck	No	Muck	0.616097860724844
SS078	11.22	20+_days	Sterile	Yes	Sterile	0.603949871953669
SS082	RNR1912	15+_days	Sterile	Yes	Sterile	0.584124009035406
SS083	NR1908	15+_days	Sterile	No	Sterile	0.609167995085644
SS087	11.21	7+_days	Sterile	No	Sterile	0.683344657508762
SS090	11.22	20+_days	Muck	Yes	Muck	0.55371823722054
SS094	NR1910	Fetus	Sterile	No	Fetus	0.863536806798978
SS095	NR1908	15+_days	Muck	No	Muck	0.635657330940171
