id	mother	age-class	environment	fed	primary-comparison	faith_pd
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
SS004	11.21	7+_days	Sterile	No	Sterile	3.69474116453
SS007	11.22	20+_days	Muck	Yes	Muck	2.6234587155776
SS011	NR1908	15+_days	Muck	No	Muck	5.09084912316097
SS016	11.21	7+_days	Sterile	No	Sterile	4.26015363731705
SS019	11.22	15+_days	Muck	Yes	Muck	5.76411628222029
SS023	NR1910	Fetus	Sterile	No	Fetus	3.76980121318637
SS028	11.21	7+_days	Muck	No	Muck	5.12191675536037
SS031	11.22	15+_days	Sterile	Yes	Sterile	3.52884648813649
SS040	11.21	7+_days	Muck	No	Muck	4.94346307625258
SS043	11.22	15+_days	Sterile	Yes	Sterile	4.19086642251359
SS047	NR1908	15+_days	Sterile	No	Sterile	3.50165080119216
SS051	11.21	Newborn	Newborn	No	Newborn	2.49595807765744
SS052	11.21	7+_days	Muck	No	Muck	6.17595706779324
SS054	11.22	20+_days	Sterile	Yes	Sterile	2.53404662396199
SS055	11.22	Newborn	Newborn	No	Newborn	4.40103105614511
SS059	NR1908	15+_days	Sterile	No	Sterile	3.52643980907282
SS063	11.21	7+_days	Sterile	No	Sterile	4.21591370356374
SS064	11.21	7+_days	Muck	No	Muck	5.72947572583222
SS066	11.22	20+_days	Sterile	Yes	Sterile	3.93515620219746
SS070	NR1912	15+_days	Sterile	Yes	Sterile	2.77528551572629
SS071	NR1908	15+_days	Sterile	No	Sterile	3.3387670452662
SS075	11.21	7+_days	Sterile	No	Sterile	3.45043085194803
SS076	11.21	7+_days	Muck	No	Muck	4.92693331135203
SS078	11.22	20+_days	Sterile	Yes	Sterile	3.07615985321496
SS082	RNR1912	15+_days	Sterile	Yes	Sterile	3.69516864887557
SS083	NR1908	15+_days	Sterile	No	Sterile	3.39869953806188
SS087	11.21	7+_days	Sterile	No	Sterile	3.95394884964793
SS090	11.22	20+_days	Muck	Yes	Muck	7.5357529057135
SS094	NR1910	Fetus	Sterile	No	Fetus	11.2751545674109
SS095	NR1908	15+_days	Muck	No	Muck	4.17399915995939
