id	mother	age-class	environment	fed	primary-comparison	observed_features
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
SS004	11.21	7+_days	Sterile	No	Sterile	65
SS007	11.22	20+_days	Muck	Yes	Muck	43
SS011	NR1908	15+_days	Muck	No	Muck	67
SS016	11.21	7+_days	Sterile	No	Sterile	78
SS019	11.22	15+_days	Muck	Yes	Muck	60
SS023	NR1910	Fetus	Sterile	No	Fetus	36
SS028	11.21	7+_days	Muck	No	Muck	85
SS031	11.22	15+_days	Sterile	Yes	Sterile	62
SS040	11.21	7+_days	Muck	No	Muck	73
SS043	11.22	15+_days	Sterile	Yes	Sterile	61
SS047	NR1908	15+_days	Sterile	No	Sterile	59
SS051	11.21	Newborn	Newborn	No	Newborn	34
SS052	11.21	7+_days	Muck	No	Muck	84
SS054	11.22	20+_days	Sterile	Yes	Sterile	38
SS055	11.22	Newborn	Newborn	No	Newborn	74
SS059	NR1908	15+_days	Sterile	No	Sterile	61
SS063	11.21	7+_days	Sterile	No	Sterile	65
SS064	11.21	7+_days	Muck	No	Muck	71
SS066	11.22	20+_days	Sterile	Yes	Sterile	61
SS070	NR1912	15+_days	Sterile	Yes	Sterile	41
SS071	NR1908	15+_days	Sterile	No	Sterile	55
SS075	11.21	7+_days	Sterile	No	Sterile	54
SS076	11.21	7+_days	Muck	No	Muck	55
SS078	11.22	20+_days	Sterile	Yes	Sterile	43
SS082	RNR1912	15+_days	Sterile	Yes	Sterile	51
SS083	NR1908	15+_days	Sterile	No	Sterile	52
SS087	11.21	7+_days	Sterile	No	Sterile	58
SS090	11.22	20+_days	Muck	Yes	Muck	106
SS094	NR1910	Fetus	Sterile	No	Fetus	161
SS095	NR1908	15+_days	Muck	No	Muck	69
