id	mother	age-class	environment	fed	primary-comparison	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	numeric
SS004	11.21	7+_days	Sterile	No	Sterile	4.09309508739682
SS007	11.22	20+_days	Muck	Yes	Muck	3.21525321672401
SS011	NR1908	15+_days	Muck	No	Muck	3.56665722063258
SS016	11.21	7+_days	Sterile	No	Sterile	4.1683616251347
SS019	11.22	15+_days	Muck	Yes	Muck	3.27022774354617
SS023	NR1910	Fetus	Sterile	No	Fetus	3.18702679721025
SS028	11.21	7+_days	Muck	No	Muck	3.63449564938368
SS031	11.22	15+_days	Sterile	Yes	Sterile	3.87675306008573
SS040	11.21	7+_days	Muck	No	Muck	3.71881778901532
SS043	11.22	15+_days	Sterile	Yes	Sterile	3.77219346727964
SS047	NR1908	15+_days	Sterile	No	Sterile	3.59429873807605
SS051	11.21	Newborn	Newborn	No	Newborn	4.20063884541099
SS052	11.21	7+_days	Muck	No	Muck	3.43846775378611
SS054	11.22	20+_days	Sterile	Yes	Sterile	2.72857910240706
SS055	11.22	Newborn	Newborn	No	Newborn	4.83965075152109
SS059	NR1908	15+_days	Sterile	No	Sterile	3.57695409084989
SS063	11.21	7+_days	Sterile	No	Sterile	3.8176853443862
SS064	11.21	7+_days	Muck	No	Muck	3.42415519298975
SS066	11.22	20+_days	Sterile	Yes	Sterile	4.06388683321251
SS070	NR1912	15+_days	Sterile	Yes	Sterile	3.35091249681515
SS071	NR1908	15+_days	Sterile	No	Sterile	3.64579827093663
SS075	11.21	7+_days	Sterile	No	Sterile	4.12654739631721
SS076	11.21	7+_days	Muck	No	Muck	3.56188335158334
SS078	11.22	20+_days	Sterile	Yes	Sterile	3.27719190378904
SS082	RNR1912	15+_days	Sterile	Yes	Sterile	3.31339983170642
SS083	NR1908	15+_days	Sterile	No	Sterile	3.47252543420658
SS087	11.21	7+_days	Sterile	No	Sterile	4.00302001680829
SS090	11.22	20+_days	Muck	Yes	Muck	3.72537225426075
SS094	NR1910	Fetus	Sterile	No	Fetus	6.33051655183583
SS095	NR1908	15+_days	Muck	No	Muck	3.88292835217837
