	SubjectID1	SubjectID2	Group1	Group2	Distance
0	SS011	SS007	Muck	Muck	0.9526
1	SS019	SS007	Muck	Muck	0.7094
2	SS019	SS011	Muck	Muck	0.8734
3	SS028	SS007	Muck	Muck	0.541
4	SS028	SS011	Muck	Muck	0.8678
5	SS028	SS019	Muck	Muck	0.65
6	SS040	SS007	Muck	Muck	0.5466
7	SS040	SS011	Muck	Muck	0.857
8	SS040	SS019	Muck	Muck	0.4898
9	SS040	SS028	Muck	Muck	0.226
10	SS052	SS007	Muck	Muck	0.4984
11	SS052	SS011	Muck	Muck	0.862
12	SS052	SS019	Muck	Muck	0.5452
13	SS052	SS028	Muck	Muck	0.2718
14	SS052	SS040	Muck	Muck	0.2042
15	SS064	SS007	Muck	Muck	0.4542
16	SS064	SS011	Muck	Muck	0.8786
17	SS064	SS019	Muck	Muck	0.5372
18	SS064	SS028	Muck	Muck	0.2352
19	SS064	SS040	Muck	Muck	0.1862
20	SS064	SS052	Muck	Muck	0.1482
21	SS076	SS007	Muck	Muck	0.5712
22	SS076	SS011	Muck	Muck	0.8252
23	SS076	SS019	Muck	Muck	0.4472
24	SS076	SS028	Muck	Muck	0.3366
25	SS076	SS040	Muck	Muck	0.2098
26	SS076	SS052	Muck	Muck	0.2086
27	SS076	SS064	Muck	Muck	0.2328
28	SS090	SS007	Muck	Muck	0.3752
29	SS090	SS011	Muck	Muck	0.879
30	SS090	SS019	Muck	Muck	0.496
31	SS090	SS028	Muck	Muck	0.4242
32	SS090	SS040	Muck	Muck	0.3412
33	SS090	SS052	Muck	Muck	0.283
34	SS090	SS064	Muck	Muck	0.2836
35	SS090	SS076	Muck	Muck	0.3626
36	SS095	SS007	Muck	Muck	0.962
37	SS095	SS011	Muck	Muck	0.3812
38	SS095	SS019	Muck	Muck	0.8094
39	SS095	SS028	Muck	Muck	0.8994
40	SS095	SS040	Muck	Muck	0.87
41	SS095	SS052	Muck	Muck	0.8792
42	SS095	SS064	Muck	Muck	0.8992
43	SS095	SS076	Muck	Muck	0.8394
44	SS095	SS090	Muck	Muck	0.8582
45	SS007	SS051	Muck	Newborn	0.8876
46	SS007	SS055	Muck	Newborn	0.7504
47	SS011	SS051	Muck	Newborn	0.591
48	SS011	SS055	Muck	Newborn	0.8418
49	SS019	SS051	Muck	Newborn	0.7984
50	SS019	SS055	Muck	Newborn	0.5276
51	SS028	SS051	Muck	Newborn	0.7196
52	SS028	SS055	Muck	Newborn	0.7144
53	SS040	SS051	Muck	Newborn	0.701
54	SS040	SS055	Muck	Newborn	0.5686
55	SS052	SS051	Muck	Newborn	0.6726
56	SS052	SS055	Muck	Newborn	0.635
57	SS064	SS051	Muck	Newborn	0.7038
58	SS064	SS055	Muck	Newborn	0.6222
59	SS076	SS051	Muck	Newborn	0.6432
60	SS076	SS055	Muck	Newborn	0.5678
61	SS090	SS051	Muck	Newborn	0.742
62	SS090	SS055	Muck	Newborn	0.5998
63	SS095	SS051	Muck	Newborn	0.6306
64	SS095	SS055	Muck	Newborn	0.8178
65	SS007	SS004	Muck	Sterile	0.9212
66	SS007	SS016	Muck	Sterile	0.9258
67	SS007	SS023	Muck	Sterile	0.9586
68	SS007	SS031	Muck	Sterile	0.8824
69	SS007	SS043	Muck	Sterile	0.9322
70	SS007	SS047	Muck	Sterile	0.9418
71	SS007	SS054	Muck	Sterile	0.3666
72	SS007	SS059	Muck	Sterile	0.9156
73	SS007	SS063	Muck	Sterile	0.951
74	SS007	SS066	Muck	Sterile	0.868
75	SS007	SS070	Muck	Sterile	0.6376
76	SS007	SS071	Muck	Sterile	0.9546
77	SS007	SS075	Muck	Sterile	0.9274
78	SS007	SS078	Muck	Sterile	0.3154
79	SS007	SS082	Muck	Sterile	0.6444
80	SS007	SS083	Muck	Sterile	0.9444
81	SS007	SS087	Muck	Sterile	0.9442
82	SS007	SS094	Muck	Sterile	0.8778
83	SS011	SS004	Muck	Sterile	0.4212
84	SS011	SS016	Muck	Sterile	0.6094
85	SS011	SS023	Muck	Sterile	0.6496
86	SS011	SS031	Muck	Sterile	0.8278
87	SS011	SS043	Muck	Sterile	0.6894
88	SS011	SS047	Muck	Sterile	0.3956
89	SS011	SS054	Muck	Sterile	0.9596
90	SS011	SS059	Muck	Sterile	0.4282
91	SS011	SS063	Muck	Sterile	0.449
92	SS011	SS066	Muck	Sterile	0.6826
93	SS011	SS070	Muck	Sterile	0.9094
94	SS011	SS071	Muck	Sterile	0.4186
95	SS011	SS075	Muck	Sterile	0.6284
96	SS011	SS078	Muck	Sterile	0.9634
97	SS011	SS082	Muck	Sterile	0.9116
98	SS011	SS083	Muck	Sterile	0.4742
99	SS011	SS087	Muck	Sterile	0.5474
100	SS011	SS094	Muck	Sterile	0.9266
101	SS019	SS004	Muck	Sterile	0.7518
102	SS019	SS016	Muck	Sterile	0.735
103	SS019	SS023	Muck	Sterile	0.805
104	SS019	SS031	Muck	Sterile	0.552
105	SS019	SS043	Muck	Sterile	0.8138
106	SS019	SS047	Muck	Sterile	0.6908
107	SS019	SS054	Muck	Sterile	0.7368
108	SS019	SS059	Muck	Sterile	0.6818
109	SS019	SS063	Muck	Sterile	0.8462
110	SS019	SS066	Muck	Sterile	0.5916
111	SS019	SS070	Muck	Sterile	0.587
112	SS019	SS071	Muck	Sterile	0.7556
113	SS019	SS075	Muck	Sterile	0.7072
114	SS019	SS078	Muck	Sterile	0.7376
115	SS019	SS082	Muck	Sterile	0.536
116	SS019	SS083	Muck	Sterile	0.7514
117	SS019	SS087	Muck	Sterile	0.7068
118	SS019	SS094	Muck	Sterile	0.8198
119	SS028	SS004	Muck	Sterile	0.804
120	SS028	SS016	Muck	Sterile	0.7702
121	SS028	SS023	Muck	Sterile	0.8762
122	SS028	SS031	Muck	Sterile	0.8424
123	SS028	SS043	Muck	Sterile	0.8764
124	SS028	SS047	Muck	Sterile	0.8578
125	SS028	SS054	Muck	Sterile	0.6174
126	SS028	SS059	Muck	Sterile	0.876
127	SS028	SS063	Muck	Sterile	0.8124
128	SS028	SS066	Muck	Sterile	0.8394
129	SS028	SS070	Muck	Sterile	0.4632
130	SS028	SS071	Muck	Sterile	0.8892
131	SS028	SS075	Muck	Sterile	0.7748
132	SS028	SS078	Muck	Sterile	0.6824
133	SS028	SS082	Muck	Sterile	0.609
134	SS028	SS083	Muck	Sterile	0.8682
