	SubjectID1	SubjectID2	Group1	Group2	Distance
0	SS011	SS007	Muck	Muck	0.7588260173797607
1	SS019	SS007	Muck	Muck	0.7294121980667114
2	SS019	SS011	Muck	Muck	0.6978722810745239
3	SS028	SS007	Muck	Muck	0.7483937740325928
4	SS028	SS011	Muck	Muck	0.7530276775360107
5	SS028	SS019	Muck	Muck	0.7341717481613159
6	SS040	SS007	Muck	Muck	0.736573338508606
7	SS040	SS011	Muck	Muck	0.6756449341773987
8	SS040	SS019	Muck	Muck	0.6811248660087585
9	SS040	SS028	Muck	Muck	0.5458758473396301
10	SS052	SS007	Muck	Muck	0.7734751105308533
11	SS052	SS011	Muck	Muck	0.7394421696662903
12	SS052	SS019	Muck	Muck	0.6610356569290161
13	SS052	SS028	Muck	Muck	0.5957674980163574
14	SS052	SS040	Muck	Muck	0.5099097490310669
15	SS064	SS007	Muck	Muck	0.7125522494316101
16	SS064	SS011	Muck	Muck	0.7252783179283142
17	SS064	SS019	Muck	Muck	0.6532977223396301
18	SS064	SS028	Muck	Muck	0.6137300133705139
19	SS064	SS040	Muck	Muck	0.5168790221214294
20	SS064	SS052	Muck	Muck	0.5126376748085022
21	SS076	SS007	Muck	Muck	0.7080000638961792
22	SS076	SS011	Muck	Muck	0.7213808298110962
23	SS076	SS019	Muck	Muck	0.6383377313613892
24	SS076	SS028	Muck	Muck	0.6142327189445496
25	SS076	SS040	Muck	Muck	0.5682727098464966
26	SS076	SS052	Muck	Muck	0.5196753740310669
27	SS076	SS064	Muck	Muck	0.5026270747184753
28	SS090	SS007	Muck	Muck	0.7197375297546387
29	SS090	SS011	Muck	Muck	0.6614861488342285
30	SS090	SS019	Muck	Muck	0.6409980654716492
31	SS090	SS028	Muck	Muck	0.7061461210250854
32	SS090	SS040	Muck	Muck	0.6590819358825684
33	SS090	SS052	Muck	Muck	0.6598183512687683
34	SS090	SS064	Muck	Muck	0.701489269733429
35	SS090	SS076	Muck	Muck	0.6758363842964172
36	SS095	SS007	Muck	Muck	0.6993740200996399
37	SS095	SS011	Muck	Muck	0.5635887980461121
38	SS095	SS019	Muck	Muck	0.7768822908401489
39	SS095	SS028	Muck	Muck	0.7072483897209167
40	SS095	SS040	Muck	Muck	0.6564304828643799
41	SS095	SS052	Muck	Muck	0.7358075976371765
42	SS095	SS064	Muck	Muck	0.7282716631889343
43	SS095	SS076	Muck	Muck	0.7273876667022705
44	SS095	SS090	Muck	Muck	0.7257429957389832
45	SS007	SS051	Muck	Newborn	0.6561442017555237
46	SS007	SS055	Muck	Newborn	0.6267621517181396
47	SS011	SS051	Muck	Newborn	0.6879626512527466
48	SS011	SS055	Muck	Newborn	0.7221129536628723
49	SS019	SS051	Muck	Newborn	0.7662894129753113
50	SS019	SS055	Muck	Newborn	0.7049285173416138
51	SS028	SS051	Muck	Newborn	0.6421586871147156
52	SS028	SS055	Muck	Newborn	0.7087848782539368
53	SS040	SS051	Muck	Newborn	0.6196975111961365
54	SS040	SS055	Muck	Newborn	0.6668190956115723
55	SS052	SS051	Muck	Newborn	0.7197327017784119
56	SS052	SS055	Muck	Newborn	0.690955400466919
57	SS064	SS051	Muck	Newborn	0.6891348958015442
58	SS064	SS055	Muck	Newborn	0.6938121914863586
59	SS076	SS051	Muck	Newborn	0.6424493193626404
60	SS076	SS055	Muck	Newborn	0.7126187682151794
61	SS090	SS051	Muck	Newborn	0.751769483089447
62	SS090	SS055	Muck	Newborn	0.6504165530204773
63	SS095	SS051	Muck	Newborn	0.6376150250434875
64	SS095	SS055	Muck	Newborn	0.6810492873191833
65	SS007	SS004	Muck	Sterile	0.7478716969490051
66	SS007	SS016	Muck	Sterile	0.7200454473495483
67	SS007	SS023	Muck	Sterile	0.7102749347686768
68	SS007	SS031	Muck	Sterile	0.7428350448608398
69	SS007	SS043	Muck	Sterile	0.7068125009536743
70	SS007	SS047	Muck	Sterile	0.735579788684845
71	SS007	SS054	Muck	Sterile	0.4666004180908203
72	SS007	SS059	Muck	Sterile	0.7399579286575317
73	SS007	SS063	Muck	Sterile	0.7330326437950134
74	SS007	SS066	Muck	Sterile	0.6060300469398499
75	SS007	SS070	Muck	Sterile	0.6253209710121155
76	SS007	SS071	Muck	Sterile	0.7338923811912537
77	SS007	SS075	Muck	Sterile	0.7330920696258545
78	SS007	SS078	Muck	Sterile	0.4972927570343018
79	SS007	SS082	Muck	Sterile	0.698861837387085
80	SS007	SS083	Muck	Sterile	0.7374230027198792
81	SS007	SS087	Muck	Sterile	0.7524887919425964
82	SS007	SS094	Muck	Sterile	0.889703631401062
83	SS011	SS004	Muck	Sterile	0.6820521354675293
84	SS011	SS016	Muck	Sterile	0.6653265953063965
85	SS011	SS023	Muck	Sterile	0.7016469836235046
86	SS011	SS031	Muck	Sterile	0.670116662979126
87	SS011	SS043	Muck	Sterile	0.6882460117340088
88	SS011	SS047	Muck	Sterile	0.6457394957542419
89	SS011	SS054	Muck	Sterile	0.7438426613807678
90	SS011	SS059	Muck	Sterile	0.6356605887413025
91	SS011	SS063	Muck	Sterile	0.665666937828064
92	SS011	SS066	Muck	Sterile	0.6638767719268799
93	SS011	SS070	Muck	Sterile	0.7318965792655945
94	SS011	SS071	Muck	Sterile	0.6475125551223755
95	SS011	SS075	Muck	Sterile	0.6089210510253906
96	SS011	SS078	Muck	Sterile	0.7597904801368713
97	SS011	SS082	Muck	Sterile	0.7348331212997437
98	SS011	SS083	Muck	Sterile	0.6609508991241455
99	SS011	SS087	Muck	Sterile	0.6538631319999695
100	SS011	SS094	Muck	Sterile	0.8011177182197571
101	SS019	SS004	Muck	Sterile	0.780106782913208
102	SS019	SS016	Muck	Sterile	0.7642117738723755
103	SS019	SS023	Muck	Sterile	0.7479069828987122
104	SS019	SS031	Muck	Sterile	0.7979108095169067
105	SS019	SS043	Muck	Sterile	0.7406542897224426
106	SS019	SS047	Muck	Sterile	0.7729569673538208
107	SS019	SS054	Muck	Sterile	0.7143929600715637
108	SS019	SS059	Muck	Sterile	0.7718607783317566
109	SS019	SS063	Muck	Sterile	0.7629321813583374
110	SS019	SS066	Muck	Sterile	0.7116782069206238
111	SS019	SS070	Muck	Sterile	0.7350499629974365
112	SS019	SS071	Muck	Sterile	0.7688559293746948
113	SS019	SS075	Muck	Sterile	0.7787994146347046
114	SS019	SS078	Muck	Sterile	0.7049371600151062
115	SS019	SS082	Muck	Sterile	0.7480162382125854
116	SS019	SS083	Muck	Sterile	0.7753726243972778
117	SS019	SS087	Muck	Sterile	0.7859899997711182
118	SS019	SS094	Muck	Sterile	0.8021819591522217
119	SS028	SS004	Muck	Sterile	0.6004770398139954
120	SS028	SS016	Muck	Sterile	0.5902649164199829
121	SS028	SS023	Muck	Sterile	0.7646098136901855
122	SS028	SS031	Muck	Sterile	0.6518877744674683
123	SS028	SS043	Muck	Sterile	0.6461775898933411
124	SS028	SS047	Muck	Sterile	0.6612501740455627
125	SS028	SS054	Muck	Sterile	0.7319561839103699
126	SS028	SS059	Muck	Sterile	0.6990261673927307
127	SS028	SS063	Muck	Sterile	0.6531638503074646
128	SS028	SS066	Muck	Sterile	0.6234817504882812
129	SS028	SS070	Muck	Sterile	0.7090386152267456
130	SS028	SS071	Muck	Sterile	0.7107056975364685
131	SS028	SS075	Muck	Sterile	0.6298755407333374
132	SS028	SS078	Muck	Sterile	0.7337294816970825
133	SS028	SS082	Muck	Sterile	0.7110737562179565
134	SS028	SS083	Muck	Sterile	0.712225079536438
135	SS028	SS087	Muck	Sterile	0.6169530153274536
136	SS028	SS094	Muck	Sterile	0.8325522541999817
137	SS040	SS004	Muck	Sterile	0.5915217399597168
138	SS040	SS016	Muck	Sterile	0.5734754800796509
139	SS040	SS023	Muck	Sterile	0.7207998037338257
140	SS040	SS031	Muck	Sterile	0.6739691495895386
141	SS040	SS043	Muck	Sterile	0.6180663704872131
142	SS040	SS047	Muck	Sterile	0.6330966949462891
143	SS040	SS054	Muck	Sterile	0.6791768074035645
144	SS040	SS059	Muck	Sterile	0.6638345718383789
145	SS040	SS063	Muck	Sterile	0.6180375814437866
