	SubjectID1	SubjectID2	Group1	Group2	Distance
0	SS011	SS007	Muck	Muck	0.2232625633478165
1	SS019	SS007	Muck	Muck	0.1225211918354034
2	SS019	SS011	Muck	Muck	0.2343297302722931
3	SS028	SS007	Muck	Muck	0.1336466073989868
4	SS028	SS011	Muck	Muck	0.1453022509813309
5	SS028	SS019	Muck	Muck	0.1826239824295044
6	SS040	SS007	Muck	Muck	0.1239145323634148
7	SS040	SS011	Muck	Muck	0.1646658778190613
8	SS040	SS019	Muck	Muck	0.1365053802728653
9	SS040	SS028	Muck	Muck	0.05173838883638382
10	SS052	SS007	Muck	Muck	0.1159535422921181
11	SS052	SS011	Muck	Muck	0.1684182286262512
12	SS052	SS019	Muck	Muck	0.1659169495105743
13	SS052	SS028	Muck	Muck	0.05198880285024643
14	SS052	SS040	Muck	Muck	0.0418831966817379
15	SS064	SS007	Muck	Muck	0.09814344346523285
16	SS064	SS011	Muck	Muck	0.1820607483386993
17	SS064	SS019	Muck	Muck	0.1594624817371368
18	SS064	SS028	Muck	Muck	0.06019384413957596
19	SS064	SS040	Muck	Muck	0.03766488283872604
20	SS064	SS052	Muck	Muck	0.02698829025030136
21	SS076	SS007	Muck	Muck	0.09677179157733917
22	SS076	SS011	Muck	Muck	0.184536948800087
23	SS076	SS019	Muck	Muck	0.1221724227070808
24	SS076	SS028	Muck	Muck	0.07888515293598175
25	SS076	SS040	Muck	Muck	0.04259493201971054
26	SS076	SS052	Muck	Muck	0.05429763719439507
27	SS076	SS064	Muck	Muck	0.05032718926668167
28	SS090	SS007	Muck	Muck	0.05792036652565002
29	SS090	SS011	Muck	Muck	0.2125387787818909
30	SS090	SS019	Muck	Muck	0.1363242268562317
31	SS090	SS028	Muck	Muck	0.1103426665067673
32	SS090	SS040	Muck	Muck	0.08657284080982208
33	SS090	SS052	Muck	Muck	0.07414599508047104
34	SS090	SS064	Muck	Muck	0.06112701818346977
35	SS090	SS076	Muck	Muck	0.05912268534302711
36	SS095	SS007	Muck	Muck	0.1944744288921356
37	SS095	SS011	Muck	Muck	0.06126761436462402
38	SS095	SS019	Muck	Muck	0.2042636275291443
39	SS095	SS028	Muck	Muck	0.142609715461731
40	SS095	SS040	Muck	Muck	0.1427185833454132
41	SS095	SS052	Muck	Muck	0.1539982706308365
42	SS095	SS064	Muck	Muck	0.1570912599563599
43	SS095	SS076	Muck	Muck	0.1548457443714142
44	SS095	SS090	Muck	Muck	0.1816680133342743
45	SS007	SS051	Muck	Newborn	0.2181987017393112
46	SS007	SS055	Muck	Newborn	0.1771348118782043
47	SS011	SS051	Muck	Newborn	0.08414846658706665
48	SS011	SS055	Muck	Newborn	0.2084463238716125
49	SS019	SS051	Muck	Newborn	0.2181205451488495
50	SS019	SS055	Muck	Newborn	0.1458695232868195
51	SS028	SS051	Muck	Newborn	0.1690842360258102
52	SS028	SS055	Muck	Newborn	0.2140019088983536
53	SS040	SS051	Muck	Newborn	0.1618333756923676
54	SS040	SS055	Muck	Newborn	0.1755056977272034
55	SS052	SS051	Muck	Newborn	0.1703313887119293
56	SS052	SS055	Muck	Newborn	0.2049631327390671
57	SS064	SS051	Muck	Newborn	0.1732054352760315
58	SS064	SS055	Muck	Newborn	0.1978592276573181
59	SS076	SS051	Muck	Newborn	0.1644904911518097
60	SS076	SS055	Muck	Newborn	0.1615590751171112
61	SS090	SS051	Muck	Newborn	0.1930621564388275
62	SS090	SS055	Muck	Newborn	0.1718351244926453
63	SS095	SS051	Muck	Newborn	0.08469410240650177
64	SS095	SS055	Muck	Newborn	0.1858442425727844
65	SS007	SS004	Muck	Sterile	0.199291318655014
66	SS007	SS016	Muck	Sterile	0.2121665477752686
67	SS007	SS023	Muck	Sterile	0.2206238508224487
68	SS007	SS031	Muck	Sterile	0.1840187609195709
69	SS007	SS043	Muck	Sterile	0.2592418789863586
70	SS007	SS047	Muck	Sterile	0.1985673755407333
71	SS007	SS054	Muck	Sterile	0.06862914562225342
72	SS007	SS059	Muck	Sterile	0.1900495141744614
73	SS007	SS063	Muck	Sterile	0.2393900454044342
74	SS007	SS066	Muck	Sterile	0.182939201593399
75	SS007	SS070	Muck	Sterile	0.138187900185585
76	SS007	SS071	Muck	Sterile	0.2315885424613953
77	SS007	SS075	Muck	Sterile	0.1978480815887451
78	SS007	SS078	Muck	Sterile	0.05876943469047546
79	SS007	SS082	Muck	Sterile	0.1214684769511223
80	SS007	SS083	Muck	Sterile	0.2369997948408127
81	SS007	SS087	Muck	Sterile	0.2238025069236755
82	SS007	SS094	Muck	Sterile	0.2943037152290344
83	SS011	SS004	Muck	Sterile	0.07793143391609192
84	SS011	SS016	Muck	Sterile	0.1113708317279816
85	SS011	SS023	Muck	Sterile	0.1594411432743073
86	SS011	SS031	Muck	Sterile	0.2128111720085144
87	SS011	SS043	Muck	Sterile	0.1867536008358002
88	SS011	SS047	Muck	Sterile	0.06841502338647842
89	SS011	SS054	Muck	Sterile	0.211893618106842
90	SS011	SS059	Muck	Sterile	0.08258534222841263
91	SS011	SS063	Muck	Sterile	0.06398342549800873
92	SS011	SS066	Muck	Sterile	0.1611510813236237
93	SS011	SS070	Muck	Sterile	0.14007768034935
94	SS011	SS071	Muck	Sterile	0.08384957909584045
95	SS011	SS075	Muck	Sterile	0.1338078379631042
96	SS011	SS078	Muck	Sterile	0.2229401916265488
97	SS011	SS082	Muck	Sterile	0.1568781137466431
98	SS011	SS083	Muck	Sterile	0.09693174064159393
99	SS011	SS087	Muck	Sterile	0.08881209045648575
100	SS011	SS094	Muck	Sterile	0.2935353517532349
101	SS019	SS004	Muck	Sterile	0.198244646191597
102	SS019	SS016	Muck	Sterile	0.2012253701686859
103	SS019	SS023	Muck	Sterile	0.1862733364105225
104	SS019	SS031	Muck	Sterile	0.09508877992630005
105	SS019	SS043	Muck	Sterile	0.2609506249427795
106	SS019	SS047	Muck	Sterile	0.1892597824335098
107	SS019	SS054	Muck	Sterile	0.1727223694324493
108	SS019	SS059	Muck	Sterile	0.1831170618534088
109	SS019	SS063	Muck	Sterile	0.2447656691074371
110	SS019	SS066	Muck	Sterile	0.1461504846811295
111	SS019	SS070	Muck	Sterile	0.1617339551448822
112	SS019	SS071	Muck	Sterile	0.2327667772769928
113	SS019	SS075	Muck	Sterile	0.1783644706010818
114	SS019	SS078	Muck	Sterile	0.1092661395668983
115	SS019	SS082	Muck	Sterile	0.1614551842212677
116	SS019	SS083	Muck	Sterile	0.2368185520172119
117	SS019	SS087	Muck	Sterile	0.2178678214550018
118	SS019	SS094	Muck	Sterile	0.3071630895137787
119	SS028	SS004	Muck	Sterile	0.1642215251922607
120	SS028	SS016	Muck	Sterile	0.1964881122112274
121	SS028	SS023	Muck	Sterile	0.2278813421726227
122	SS028	SS031	Muck	Sterile	0.2265531420707703
123	SS028	SS043	Muck	Sterile	0.2491178959608078
124	SS028	SS047	Muck	Sterile	0.1592331230640411
125	SS028	SS054	Muck	Sterile	0.1314578652381897
126	SS028	SS059	Muck	Sterile	0.1736258566379547
127	SS028	SS063	Muck	Sterile	0.17049241065979
128	SS028	SS066	Muck	Sterile	0.2198774218559265
129	SS028	SS070	Muck	Sterile	0.05786355584859848
130	SS028	SS071	Muck	Sterile	0.1863863915205002
131	SS028	SS075	Muck	Sterile	0.202838346362114
132	SS028	SS078	Muck	Sterile	0.1643857359886169
133	SS028	SS082	Muck	Sterile	0.09611526131629944
134	SS028	SS083	Muck	Sterile	0.1811909079551697
135	SS028	SS087	Muck	Sterile	0.1781861484050751
136	SS028	SS094	Muck	Sterile	0.2871240377426147
137	SS040	SS004	Muck	Sterile	0.1500003933906555
138	SS040	SS016	Muck	Sterile	0.1818509250879288
139	SS040	SS023	Muck	Sterile	0.2023874521255493
140	SS040	SS031	Muck	Sterile	0.1887324750423431
141	SS040	SS043	Muck	Sterile	0.2483597993850708
142	SS040	SS047	Muck	Sterile	0.1411358863115311
143	SS040	SS054	Muck	Sterile	0.1247547194361687
144	SS040	SS059	Muck	Sterile	0.1603414714336395
145	SS040	SS063	Muck	Sterile	0.1778717339038849
146	SS040	SS066	Muck	Sterile	0.1990272998809814
147	SS040	SS070	Muck	Sterile	0.07839152961969376
148	SS040	SS071	Muck	Sterile	0.1776035577058792
149	SS040	SS075	Muck	Sterile	0.1856009960174561
150	SS040	SS078	Muck	Sterile	0.1542618572711945
151	SS040	SS082	Muck	Sterile	0.08878371119499207
152	SS040	SS083	Muck	Sterile	0.1854390799999237
153	SS040	SS087	Muck	Sterile	0.1714628040790558
154	SS040	SS094	Muck	Sterile	0.2852550745010376
155	SS052	SS004	Muck	Sterile	0.1699909716844559
156	SS052	SS016	Muck	Sterile	0.192911297082901
157	SS052	SS023	Muck	Sterile	0.2120119482278824
